,Almacenamiento_Bateria,BioGas,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Biomasa,Hidraulica,Solar,Demand
Almacenamiento_Bateria,38.89851388116506,3.8011028943028236,82.58803450194846,-4.920512244250166,37.650467709549886,975.1078678643545,11.316542881126194,-398.8119844892388,-5.670003431772343,0.3214560791579149,-170.82598064023495,-245.11688920393223,-195.61575935008202,475.49124478679784
BioGas,3.8011028943028236,2932.5575746461714,11495.900322116226,-57.334025345728016,5122.527648875452,-4814.530787183191,104.5785802547124,-4620.723667101695,88.73765501275692,-291.6867501255926,1361.6513656064037,-2437.373994772207,-604.2306271692531,8193.403338014587
Carbon,82.58803450194846,11495.900322116226,14723796.14058894,2088.2075897334626,-515384.02492483525,-4259613.32690371,-3485.5532227163435,-1417885.1867545613,6108.745234405978,8238.658050740374,104733.10087764038,55605.76203164898,-542614.8362627049,7289844.354187921
Cogeneracion,-4.920512244250166,-57.334025345728016,2088.2075897334626,9682.943413188037,-329.30404310566354,-7393.868840238483,327.9228609467878,11717.876516347886,30.408589992167684,512.6456833304275,-605.7122005294733,-3580.3268576856885,-6106.469117081506,-12737.217391583103
Diesel,37.650467709549886,5122.527648875452,-515384.02492483525,-329.30404310566354,5407823.362323024,-860714.429649797,37640.70348644517,-1075144.2342373957,-9284.661672037093,-13985.727238395988,9545.529394159037,-154315.21362163944,-152223.88156389818,-2531251.465014735
Eolica,975.1078678643545,-4814.530787183191,-4259613.32690371,-7393.868840238483,-860714.429649797,16722730.709523328,-6435.5118580607195,-3819238.384739788,-33599.69530050655,-13162.15900048485,-80710.27049771846,-3555423.1551399785,289421.51718738687,1662884.0258530825
Fuel Oil,11.316542881126194,104.5785802547124,-3485.5532227163435,327.9228609467878,37640.70348644517,-6435.5118580607195,12319.448302978999,9975.440297859548,172.08717264288615,-251.34610620345842,355.7000212145823,-13174.292384942804,-3008.7420256319197,-8303.992514763419
Gas_Natural,-398.8119844892388,-4620.723667101695,-1417885.1867545613,11717.876516347886,-1075144.2342373957,-3819238.384739788,9975.440297859548,16500471.012785466,1935.516539124383,20297.65949059508,-23.78220072310237,-1051287.5665490818,-675732.9943587485,7561217.3244440975
Geotermica,-5.670003431772343,88.73765501275692,6108.745234405978,30.408589992167684,-9284.661672037093,-33599.69530050655,172.08717264288615,1935.516539124383,12960.1127776717,990.2505469664789,1.5168731307656338,11150.963929424399,-6173.328463330292,1518.7106381281642
PetCoke,0.3214560791579149,-291.6867501255926,8238.658050740374,512.6456833304275,-13985.727238395988,-13162.15900048485,-251.34610620345842,20297.65949059508,990.2505469664789,40309.33364389698,707.7865218562301,-27162.437096065438,-5299.4111442966005,15138.141273295425
Biomasa,-170.82598064023495,1361.6513656064037,104733.10087764038,-605.7122005294733,9545.529394159037,-80710.27049771846,355.7000212145823,-23.78220072310237,1.5168731307656338,707.7865218562301,152552.9073745513,-111198.04130540695,-30400.872980457967,-89157.84719914218
Hidraulica,-245.11688920393223,-2437.373994772207,55605.76203164898,-3580.3268576856885,-154315.21362163944,-3555423.1551399785,-13174.292384942804,-1051287.5665490818,11150.963929424399,-27162.437096065438,-111198.04130540695,14788186.244727558,-525538.6295105546,8816312.704074189
Solar,-195.61575935008202,-604.2306271692531,-542614.8362627049,-6106.469117081506,-152223.88156389818,289421.51718738687,-3008.7420256319197,-675732.9943587485,-6173.328463330292,-5299.4111442966005,-30400.872980457967,-525538.6295105546,1778774.7553166186,72476.52741656001
Demand,475.49124478679784,8193.403338014587,7289844.354187921,-12737.217391583103,-2531251.465014735,1662884.0258530825,-8303.992514763419,7561217.3244440975,1518.7106381281642,15138.141273295425,-89157.84719914218,8816312.704074189,72476.52741656001,32171346.180817187
