column,distribution,df,loc,scale
Almacenamiento_Bateria,t,0.6096818921511016,-0.00611389557848431,0.23059362369420228
BioGas,t,1.171518136543212,-0.1372075666041589,11.031168329476046
Carbon,t,2.664471381446004,-50.18075489811874,2241.4174711273026
Cogeneracion,t,0.5564596601329759,0.10205225856906723,2.3362542960234878
Diesel,t,0.784181187062015,-9.602030800705535,242.89168087681452
Eolica,t,2.3685613303814033,27.127365334192675,2191.4912559711806
Fuel Oil,t,0.06411342942660758,-2.0021739615979083e-13,9.40915904720307e-11
Gas_Natural,t,2.359817808277157,4.162489260979946,2243.7794066694996
Geotermica,t,0.5724015371335243,-0.07482386193294735,5.359891574120894
PetCoke,t,0.6708197682798761,-0.022980779608472564,6.079252161922617
Biomasa,t,2.6669317300065796,-5.576867996088393,220.93494786823175
Hidraulica,t,2.2330415576719567,3.277109757090229,1936.8868046245339
Solar,t,1.4449684147283723,9.007442558438337,428.44038510171674
Demand,t,1.484043767730467,-27.426467138155672,1793.1037360384414
