column,distribution,loc,scale,df,nc,a,b,c,beta
Almacenamiento_Bateria,laplace,0.02634579853177499,1.9229988016599386,,,,,,
BioGas,nct,8.378983425591889,10.934771024040066,1.2667572113818717,-0.6998667347348074,,,,
Carbon,nct,732.34505740084,2237.4847636722566,2.7191458324125017,-0.3139099067451379,,,,
Cogeneracion,norminvgauss,0.05886708995259305,3.3368266573529732,,,0.0011158959361338473,-0.0010043035773598392,,
Diesel,t,-9.602030800705535,242.89168087681452,0.784181187062015,,,,,
Eolica,nct,-935.5248068678046,2179.9704349096255,2.4013680341481676,0.3929606276736179,,,,
Fuel Oil,dweibull,-1.9501458484714146e-30,121.48436877742247,,,,,0.287978847388317,
Gas_Natural,nct,15.357851371453172,2243.6730439895455,2.359598273750024,-0.005057510314297851,,,,
Geotermica,gennorm,-1.2697865950754996e-17,0.5382180475150888,,,,,,0.33501346873299764
PetCoke,laplace,-0.290353999693707,61.86972636844865,,,,,,
Biomasa,nct,102.74551420539548,221.33065746737662,2.8039580433087417,-0.44206297166108915,,,,
Hidraulica,t,3.277109757090229,1936.8868046245339,2.2330415576719567,,,,,
Solar,nct,285.08003420097225,414.7929920753286,1.4969969851039433,-0.6095211659648825,,,,
demand,t,-27.426467138155672,1793.1037360384414,1.484043767730467,,,,,
